iter	Logloss
0	0.6243546709
1	0.5632822371
2	0.5089854591
3	0.4595583157
4	0.410745455
5	0.3731753668
6	0.3365850295
7	0.3067482122
8	0.2799017544
9	0.255312555
10	0.2339486706
11	0.2148928348112	0.1981733973113	0.1827504759114	0.1691086921115	0.156918992
16	0.1464217855
17	0.135918938
18	0.127429311
19	0.1192159005
20	0.1124441956
21	0.1059241575
22	0.1007503093
23	0.09223587266
24	0.08768013944
25	0.08339810742
26	0.07955327448
27	0.07626406073
28	0.0734022257
29	0.0679044865
30	0.06537155242
31	0.06306316558
32	0.05956836999
33	0.05777456805
34	0.05424640396
35	0.05075044813
36	0.04940029118
37	0.04813452662
38	0.04726558676
39	0.04500995395
40	0.04392556606
41	0.04214277741
42	0.04034212387
43	0.03871953744
44	0.03736900646
45	0.03573296701
46	0.03515845564
47	0.03380338052
48	0.0326604615
49	0.03156774216
50	0.03127748318
51	0.03031327488
52	0.0294835002
53	0.02873399692
54	0.02801749199
55	0.0274617044
56	0.02695311718
57	0.02641342229
58	0.02570988911
59	0.0255388402
60	0.025484926
61	0.02485080313
62	0.02465878442
63	0.02427859388
64	0.02380489598
65	0.02348164964
66	0.02315596883
67	0.0226623611
68	0.02220930818
69	0.02198013618
70	0.0218747951
71	0.02145529115
72	0.02112000377
73	0.02075197728
74	0.0206503973
75	0.02049059867
76	0.02022826742
77	0.01997785915
78	0.01989955341
79	0.01963547363
80	0.01937848435
81	0.0191087675
82	0.01884763633
83	0.01858004071
84	0.01847639829
85	0.01826865224
86	0.01818766528
87	0.01795803463
88	0.01771993776
89	0.01749497302
90	0.0173471284
91	0.0172062672
92	0.01700409812
93	0.01677911251
94	0.01655968288
95	0.01642445464
96	0.01641171699
97	0.01624344624
98	0.016209895
99	0.01606630911
100	0.01587865691
101	0.01571056323
102	0.0155992276
103	0.01546387783
104	0.01528199551
105	0.01515005402
106	0.01505069727
107	0.01494207541
108	0.01487689141
109	0.01479250645
110	0.01471741039
111	0.01461397787
112	0.01450045402
113	0.01449910178
114	0.01440104229
115	0.01427530702
116	0.01418090197
117	0.01405849425
118	0.01400445067
119	0.0138939784
120	0.0137536359
121	0.01366230911
122	0.0135744928
123	0.01341260856
124	0.01330954134
125	0.01315466782
126	0.01307706876
127	0.0130080834
128	0.01291274148
129	0.01285597792
130	0.01277799869
131	0.01271451789
132	0.01269247746
133	0.0126402538
134	0.0125131702
135	0.01243317596
136	0.01239501583
137	0.01232870329
138	0.01224449462
139	0.01215698962
140	0.01205616313
141	0.01200177858
142	0.01195235571
143	0.01188986338
144	0.01181619991
145	0.01177501507
146	0.01171191279
147	0.01163878476
148	0.0116119016
149	0.01155476262
150	0.01151832581
151	0.01143554382
152	0.01137251537
153	0.01131099082
154	0.01125998287
155	0.01122790809
156	0.01115316162
157	0.01109162189
158	0.01104661132
159	0.01098493129
160	0.01088946695
161	0.0108342867
162	0.01077884113
163	0.0107147558
164	0.01066832651
165	0.01061072847
166	0.01059004932
167	0.01055529939
168	0.01051150427
169	0.0104364007
170	0.01041334989
171	0.01034990531
172	0.01033633827
173	0.01030290863
174	0.01023168863
175	0.01021673246
176	0.01011320375
177	0.01006214107
178	0.0100142733
179	0.009938525406
180	0.009895528595
181	0.009865003044
182	0.009831556719
183	0.009792164721
184	0.009768607035
185	0.009725694978
