iter	Logloss
0	0.6583090769
1	0.6279991855
2	0.6002886514
3	0.5760652723
4	0.5535019208
5	0.5308860362
6	0.51183722
7	0.4938893743
8	0.4770741791
9	0.4613895087
10	0.4460070118
11	0.4299862734
12	0.4176703956
13	0.4068578085
14	0.3963023705
15	0.3855124035
16	0.3761082741
17	0.3661373731
18	0.3579703434
19	0.3494530873
20	0.3421084426
21	0.3364328386
22	0.3305746395
23	0.3252493378
24	0.3197072902
25	0.3156225708
26	0.3108947701
27	0.3056980537
28	0.3014898282
29	0.2984536221
30	0.2956956251
31	0.2926547665
32	0.288662495
33	0.2858051926
34	0.283123299
35	0.2798904694
36	0.2769566268
37	0.2753935631
38	0.2722583119
39	0.2699062567
40	0.26740711
41	0.2652618995
42	0.2631200827
43	0.2610213006
44	0.2598472586
45	0.2579438408
46	0.2550043191
47	0.2527354223
48	0.2502556485
49	0.2485527359
50	0.2468169836
51	0.2449859616
52	0.2441119138
53	0.2424572164
54	0.2409557027
55	0.2397068753
56	0.2389059893
57	0.2375862873
58	0.2369807267
59	0.2358928217
60	0.2345959812
61	0.2338299776
62	0.2317071259
63	0.2306510627
64	0.2294452517
65	0.2283581902
66	0.2271180307
67	0.2260679833
68	0.2252793795
69	0.2247325142
70	0.2241511184
71	0.2230726971
72	0.2226838229
73	0.2219495398
74	0.2209820174
75	0.2202499086
76	0.2193031304
77	0.2181581041
78	0.2173265649
79	0.2163813728
80	0.2161559633
81	0.2157248985
82	0.2150755941
83	0.2146422185
84	0.2139151506
85	0.2136535852
86	0.2133044222
87	0.2130018162
88	0.2123025642
89	0.2116945839
90	0.2107710727
91	0.2097559083
92	0.2095185201
93	0.2090780616
94	0.2085904328
95	0.2079651537
96	0.2076816382
97	0.207376803
98	0.2068856468
99	0.2066585008
100	0.2060165386
101	0.2055622211
102	0.2049266749
103	0.2046141874
104	0.2038907465
105	0.2037610576
106	0.2029276725
107	0.202470143
108	0.2019829063
109	0.2017663866
110	0.2015653265
111	0.2008451016
112	0.2005362135
113	0.2003907333
114	0.1997310299
115	0.1990375744
116	0.1987887437
117	0.1984976951
118	0.1978968729
119	0.1975610025
120	0.1972682904
121	0.1965961414
122	0.1962156052
123	0.1957645326
124	0.1955183125
125	0.1951908755
126	0.1947977525
127	0.1945584691
128	0.1942198655
129	0.1936796306
130	0.1933271394
131	0.1928951253
132	0.1927120661
133	0.1924772496
134	0.1922662374
135	0.1916452769
136	0.1913024828
137	0.1904422401
138	0.189898511
139	0.1890932208
140	0.1885220057
141	0.1880269054
142	0.1877557509
143	0.1876224416
144	0.1874345713
145	0.1869693813
146	0.186731796
147	0.1864005941
148	0.1861522934
149	0.1860223371
150	0.1857947377
151	0.1853304568
152	0.1849970545
153	0.1847001846
154	0.1845775776
155	0.184288514
156	0.1839979667
157	0.1835019881
158	0.1833302061
