iter	Logloss
0	0.6758646938
1	0.658196706
2	0.6431590132
3	0.6287546709
4	0.6151839829
5	0.6035634754
6	0.5926290483
7	0.5800376244
8	0.5677761758
9	0.5578049721
10	0.5485783229
11	0.539162055
12	0.5293736747
13	0.5214540957
14	0.5133337694
15	0.5072073179
16	0.4999399379
17	0.4945352155
18	0.4882678361
19	0.4828073995
20	0.4766388616
21	0.4725078937
22	0.467416566
23	0.4628530664
24	0.4585859485
25	0.4545019386
26	0.4514116573
27	0.4473081534
28	0.4430638493
29	0.4391229101
30	0.4362534609
31	0.432824537
32	0.429168952
33	0.4263389094
34	0.4229277317
35	0.4204594739
36	0.4174724042
37	0.4150694463
38	0.4124724099
39	0.4099476713
40	0.4069390383
41	0.4046227022
42	0.4022514224
43	0.3998329422
44	0.3975071287
45	0.3959270803
46	0.3933592243
47	0.3911811832
48	0.3892739668
49	0.3872309857
50	0.3857477722
51	0.3840462398
52	0.3825442242
53	0.3811929495
54	0.379148204
55	0.3778075722
56	0.3762843997
57	0.374544045
58	0.3727555498
59	0.371623141
60	0.3701108207
61	0.368462252
62	0.3674085602
63	0.36636067
64	0.3650904521
65	0.3637316171
66	0.362911055
67	0.3617282032
68	0.3607869245
69	0.3593246536
70	0.3580434968
71	0.3571898786
72	0.3559874981
73	0.3545133497
74	0.3534941099
75	0.3524365554
76	0.351053092
77	0.3503961802
78	0.3493131348
79	0.3481401616
80	0.3469540542
81	0.3457737678
82	0.344644535
83	0.3436321899
84	0.3424293305
85	0.3417750125
86	0.3410858549
87	0.3401839986
88	0.339278898
89	0.3382054971
90	0.3375474824
91	0.3369766878
92	0.3360006875
93	0.3354007375
94	0.3344615258
95	0.3336739913
96	0.332772112
97	0.3318391515
98	0.3309381371
99	0.3299969784
100	0.3293908087
101	0.3287842375
102	0.3281863663
103	0.327434809
104	0.3266902082
105	0.3259675831
106	0.3254277457
107	0.324889621
108	0.324152076
109	0.323449999
110	0.3227912477
111	0.3221534074
112	0.3212236887
113	0.3206956861
114	0.3201870159
115	0.3192256099
116	0.318672543
117	0.3181297339
118	0.3177377984
119	0.3173750549
120	0.3166818197
121	0.3160893776
122	0.3157001032
123	0.3151794741
124	0.3146496657
125	0.3139465638
126	0.3137530127
127	0.313247422
128	0.3126538641
129	0.3121136717
130	0.3116634467
131	0.3110906005
132	0.3105024475
133	0.3099024108
134	0.3095330611
135	0.3088680741
136	0.308383453
137	0.3076485507
138	0.3071067846
139	0.3068508639
140	0.306349356
141	0.305823566
142	0.305302871
143	0.3048700894
144	0.3044278927
145	0.3040418844
146	0.3037185925
147	0.3032070328
148	0.3029706918
149	0.3025384303
150	0.3021446546
151	0.3018390761
152	0.3013111592
153	0.3010025227
154	0.3005636006
155	0.3002071527
156	0.2997418024
157	0.2997416063
158	0.2992069117
159	0.298879659
160	0.2986206165
161	0.2981142188
162	0.2977804551
163	0.2976059134
164	0.297355201
165	0.2970207316
166	0.2966840487
167	0.2964841821
168	0.2961014773
169	0.2957418216
170	0.2954771864
171	0.2951455382
172	0.2948081477
173	0.2945237611
174	0.2943307651
175	0.2940258731
176	0.2937841152
177	0.2934969639
178	0.2930556784
179	0.2926603522
180	0.2924595722
181	0.2921676824
182	0.2919754056
183	0.2915487434
184	0.2911616316
185	0.2909134645
186	0.2906777354
187	0.2903600284
188	0.2903599516
189	0.2901290744
190	0.2896589928
191	0.2892274605
192	0.288877123
193	0.288550699
194	0.2881578936
195	0.2877621358
196	0.2874482306
197	0.2870889693
198	0.2867336782
199	0.2863896342
200	0.2861442452
201	0.2857930019
202	0.2854930159
203	0.2852670346
204	0.285020591
205	0.2846327329
206	0.2843692942
207	0.2841173605
208	0.2838828049
209	0.2836376823
210	0.2833935482
211	0.2832852731
212	0.2830263024
213	0.282893427
214	0.2828933708
215	0.2826519819
216	0.2824809318
217	0.2822564517
218	0.2821079247
219	0.2818825196
220	0.2814823698
